Semester Year Name Concat,Semester Year Letter Cd Concat,Ungrad Grad Cd,Gender Desc,Ucb Level1 Ethnic Rollup Cd,Ucb Level1 Ethnic Rollup Desc,Student Headcount,Prorated Student Major Cnt Sum
2005 Fall,2005 D,U,Female,1,Underrepresented Minority,181,165
2005 Fall,2005 D,U,Female,2,Asian/Pacific Islander,335,287
2005 Fall,2005 D,U,Female,3,White/Other,591,543.333333333333
2005 Fall,2005 D,U,Female,4,International,18,16.5
2005 Fall,2005 D,U,Male,1,Underrepresented Minority,133,121.5
2005 Fall,2005 D,U,Male,2,Asian/Pacific Islander,161,140.833333333333
2005 Fall,2005 D,U,Male,3,White/Other,396,362.666666666667
2005 Fall,2005 D,U,Male,4,International,10,10
2006 Spring,2006 B,U,Female,1,Underrepresented Minority,206,184.833333333333
2006 Spring,2006 B,U,Female,2,Asian/Pacific Islander,363,312.5
2006 Spring,2006 B,U,Female,3,White/Other,632,577.166666666667
2006 Spring,2006 B,U,Female,4,International,22,20
2006 Spring,2006 B,U,Male,1,Underrepresented Minority,142,127.333333333333
2006 Spring,2006 B,U,Male,2,Asian/Pacific Islander,184,162.833333333333
2006 Spring,2006 B,U,Male,3,White/Other,441,405.333333333333
2006 Spring,2006 B,U,Male,4,International,12,12
2006 Fall,2006 D,U,Female,1,Underrepresented Minority,168,150.833333333333
2006 Fall,2006 D,U,Female,2,Asian/Pacific Islander,333,286.666666666667
2006 Fall,2006 D,U,Female,3,White/Other,623,573.5
2006 Fall,2006 D,U,Female,4,International,22,21
2006 Fall,2006 D,U,Male,1,Underrepresented Minority,128,116.5
2006 Fall,2006 D,U,Male,2,Asian/Pacific Islander,152,134.333333333333
2006 Fall,2006 D,U,Male,3,White/Other,421,388
2006 Fall,2006 D,U,Male,4,International,12,11
2007 Spring,2007 B,U,Female,1,Underrepresented Minority,206,183.333333333333
2007 Spring,2007 B,U,Female,2,Asian/Pacific Islander,370,316
2007 Spring,2007 B,U,Female,3,White/Other,663,607
2007 Spring,2007 B,U,Female,4,International,23,22.5
2007 Spring,2007 B,U,Male,1,Underrepresented Minority,137,124
2007 Spring,2007 B,U,Male,2,Asian/Pacific Islander,170,151
2007 Spring,2007 B,U,Male,3,White/Other,457,421
2007 Spring,2007 B,U,Male,4,International,9,8.5
2007 Fall,2007 D,U,Female,1,Underrepresented Minority,217,196
2007 Fall,2007 D,U,Female,2,Asian/Pacific Islander,338,289.833333333333
2007 Fall,2007 D,U,Female,3,White/Other,652,592
2007 Fall,2007 D,U,Female,4,International,16,16
2007 Fall,2007 D,U,Male,1,Underrepresented Minority,136,126.5
2007 Fall,2007 D,U,Male,2,Asian/Pacific Islander,181,157.833333333333
2007 Fall,2007 D,U,Male,3,White/Other,445,411.5
2007 Fall,2007 D,U,Male,4,International,9,8
2008 Spring,2008 B,U,Female,1,Underrepresented Minority,239,219
2008 Spring,2008 B,U,Female,2,Asian/Pacific Islander,365,313.333333333333
2008 Spring,2008 B,U,Female,3,White/Other,687,630.333333333333
2008 Spring,2008 B,U,Female,4,International,10,9.5
2008 Spring,2008 B,U,Male,1,Underrepresented Minority,150,142.5
2008 Spring,2008 B,U,Male,2,Asian/Pacific Islander,203,180.333333333333
2008 Spring,2008 B,U,Male,3,White/Other,457,422.5
2008 Spring,2008 B,U,Male,4,International,11,9.5
2008 Fall,2008 D,U,Female,1,Underrepresented Minority,211,192
2008 Fall,2008 D,U,Female,2,Asian/Pacific Islander,368,317.833333333333
2008 Fall,2008 D,U,Female,3,White/Other,625,570.5
2008 Fall,2008 D,U,Female,4,International,18,17.6666666666667
2008 Fall,2008 D,U,Male,1,Underrepresented Minority,148,138
2008 Fall,2008 D,U,Male,2,Asian/Pacific Islander,201,178.5
2008 Fall,2008 D,U,Male,3,White/Other,431,391
2008 Fall,2008 D,U,Male,4,International,11,10.5
2009 Spring,2009 B,U,Female,1,Underrepresented Minority,223,200.5
2009 Spring,2009 B,U,Female,2,Asian/Pacific Islander,397,344.5
2009 Spring,2009 B,U,Female,3,White/Other,680,624
2009 Spring,2009 B,U,Female,4,International,26,24.3333333333333
2009 Spring,2009 B,U,Male,1,Underrepresented Minority,168,154.5
2009 Spring,2009 B,U,Male,2,Asian/Pacific Islander,217,189.333333333333
2009 Spring,2009 B,U,Male,3,White/Other,451,413.5
2009 Spring,2009 B,U,Male,4,International,16,15
2009 Fall,2009 D,U,Female,1,Underrepresented Minority,213,186.5
2009 Fall,2009 D,U,Female,2,Asian/Pacific Islander,336,285
2009 Fall,2009 D,U,Female,3,White/Other,640,590
2009 Fall,2009 D,U,Female,4,International,30,28.5
2009 Fall,2009 D,U,Male,1,Underrepresented Minority,150,138
2009 Fall,2009 D,U,Male,2,Asian/Pacific Islander,180,154.5
2009 Fall,2009 D,U,Male,3,White/Other,409,379.333333333333
2009 Fall,2009 D,U,Male,4,International,15,13
2010 Spring,2010 B,U,Female,1,Underrepresented Minority,238,210
2010 Spring,2010 B,U,Female,2,Asian/Pacific Islander,357,297.833333333333
2010 Spring,2010 B,U,Female,3,White/Other,691,635.333333333333
2010 Spring,2010 B,U,Female,4,International,37,34.5
2010 Spring,2010 B,U,Male,1,Underrepresented Minority,175,160.5
2010 Spring,2010 B,U,Male,2,Asian/Pacific Islander,186,163.166666666667
2010 Spring,2010 B,U,Male,3,White/Other,453,420.166666666667
2010 Spring,2010 B,U,Male,4,International,20,18
2010 Fall,2010 D,U,Female,1,Underrepresented Minority,237,214
2010 Fall,2010 D,U,Female,2,Asian/Pacific Islander,312,257.166666666667
2010 Fall,2010 D,U,Female,3,White/Other,570,517.833333333333
2010 Fall,2010 D,U,Female,4,International,27,23.5
2010 Fall,2010 D,U,Male,1,Underrepresented Minority,158,148
2010 Fall,2010 D,U,Male,2,Asian/Pacific Islander,150,130.333333333333
2010 Fall,2010 D,U,Male,3,White/Other,406,381.5
2010 Fall,2010 D,U,Male,4,International,16,14.5
