Semester Year Name Concat,Semester Year Letter Cd Concat,Ungrad Grad Cd,Gender Desc,Ucb Level1 Ethnic Rollup Cd,Ucb Level1 Ethnic Rollup Desc,Student Headcount,Prorated Student Major Cnt Sum
2005 Fall,2005 D,U,Female,1,Underrepresented Minority,44,40
2005 Fall,2005 D,U,Female,2,Asian/Pacific Islander,478,438.5
2005 Fall,2005 D,U,Female,3,White/Other,214,190
2005 Fall,2005 D,U,Female,4,International,17,15
2005 Fall,2005 D,U,Male,1,Underrepresented Minority,42,38.5
2005 Fall,2005 D,U,Male,2,Asian/Pacific Islander,290,264.166666666667
2005 Fall,2005 D,U,Male,3,White/Other,170,159
2005 Fall,2005 D,U,Male,4,International,10,9
2006 Spring,2006 B,U,Female,1,Underrepresented Minority,48,46
2006 Spring,2006 B,U,Female,2,Asian/Pacific Islander,552,512
2006 Spring,2006 B,U,Female,3,White/Other,234,210
2006 Spring,2006 B,U,Female,4,International,26,24
2006 Spring,2006 B,U,Male,1,Underrepresented Minority,47,42.5
2006 Spring,2006 B,U,Male,2,Asian/Pacific Islander,337,310.5
2006 Spring,2006 B,U,Male,3,White/Other,188,176.5
2006 Spring,2006 B,U,Male,4,International,10,9.5
2006 Fall,2006 D,U,Female,1,Underrepresented Minority,43,41
2006 Fall,2006 D,U,Female,2,Asian/Pacific Islander,471,436.666666666667
2006 Fall,2006 D,U,Female,3,White/Other,231,210
2006 Fall,2006 D,U,Female,4,International,19,18
2006 Fall,2006 D,U,Male,1,Underrepresented Minority,38,35
2006 Fall,2006 D,U,Male,2,Asian/Pacific Islander,303,283.333333333333
2006 Fall,2006 D,U,Male,3,White/Other,165,154
2006 Fall,2006 D,U,Male,4,International,7,5.5
2007 Spring,2007 B,U,Female,1,Underrepresented Minority,46,44
2007 Spring,2007 B,U,Female,2,Asian/Pacific Islander,534,496.833333333333
2007 Spring,2007 B,U,Female,3,White/Other,244,226.5
2007 Spring,2007 B,U,Female,4,International,26,24.5
2007 Spring,2007 B,U,Male,1,Underrepresented Minority,37,34.5
2007 Spring,2007 B,U,Male,2,Asian/Pacific Islander,338,319.833333333333
2007 Spring,2007 B,U,Male,3,White/Other,162,150
2007 Spring,2007 B,U,Male,4,International,12,10.5
2007 Fall,2007 D,U,Female,1,Underrepresented Minority,34,33
2007 Fall,2007 D,U,Female,2,Asian/Pacific Islander,480,443.333333333333
2007 Fall,2007 D,U,Female,3,White/Other,227,210
2007 Fall,2007 D,U,Female,4,International,18,17.5
2007 Fall,2007 D,U,Male,1,Underrepresented Minority,30,27.5
2007 Fall,2007 D,U,Male,2,Asian/Pacific Islander,283,266.333333333333
2007 Fall,2007 D,U,Male,3,White/Other,136,121.5
2007 Fall,2007 D,U,Male,4,International,13,12
2008 Spring,2008 B,U,Female,1,Underrepresented Minority,36,33.5
2008 Spring,2008 B,U,Female,2,Asian/Pacific Islander,552,509.833333333333
2008 Spring,2008 B,U,Female,3,White/Other,239,221
2008 Spring,2008 B,U,Female,4,International,19,17.5
2008 Spring,2008 B,U,Male,1,Underrepresented Minority,41,39
2008 Spring,2008 B,U,Male,2,Asian/Pacific Islander,354,332.833333333333
2008 Spring,2008 B,U,Male,3,White/Other,155,141
2008 Spring,2008 B,U,Male,4,International,17,16
2008 Fall,2008 D,U,Female,1,Underrepresented Minority,41,39
2008 Fall,2008 D,U,Female,2,Asian/Pacific Islander,473,441.666666666667
2008 Fall,2008 D,U,Female,3,White/Other,210,191.5
2008 Fall,2008 D,U,Female,4,International,10,9
2008 Fall,2008 D,U,Male,1,Underrepresented Minority,44,40.5
