Semester Year Name Concat,Semester Year Letter Cd Concat,Ungrad Grad Cd,Gender Desc,Ucb Level1 Ethnic Rollup Cd,Ucb Level1 Ethnic Rollup Desc,Student Headcount,Prorated Student Major Cnt Sum
2005 Fall,2005 D,U,Female,1,Underrepresented Minority,1818,1815.5
2005 Fall,2005 D,U,Female,2,Asian/Pacific Islander,4172,4127
2005 Fall,2005 D,U,Female,3,White/Other,4255,4240.16666666667
2005 Fall,2005 D,U,Female,4,International,176,173.5
2005 Fall,2005 D,U,Male,1,Underrepresented Minority,1082,1080
2005 Fall,2005 D,U,Male,2,Asian/Pacific Islander,2658,2616.66666666667
2005 Fall,2005 D,U,Male,3,White/Other,3355,3339.66666666667
2005 Fall,2005 D,U,Male,4,International,189,186
2006 Spring,2006 B,U,Female,1,Underrepresented Minority,1755,1752
2006 Spring,2006 B,U,Female,2,Asian/Pacific Islander,4164,4116
2006 Spring,2006 B,U,Female,3,White/Other,4137,4117.66666666667
2006 Spring,2006 B,U,Female,4,International,176,174
2006 Spring,2006 B,U,Male,1,Underrepresented Minority,1035,1033.5
2006 Spring,2006 B,U,Male,2,Asian/Pacific Islander,2646,2605.5
2006 Spring,2006 B,U,Male,3,White/Other,3274,3254.5
2006 Spring,2006 B,U,Male,4,International,186,183.333333333333
2006 Fall,2006 D,U,Female,1,Underrepresented Minority,1854,1851
2006 Fall,2006 D,U,Female,2,Asian/Pacific Islander,4213,4164.66666666667
2006 Fall,2006 D,U,Female,3,White/Other,4320,4299.66666666667
2006 Fall,2006 D,U,Female,4,International,180,178.5
2006 Fall,2006 D,U,Male,1,Underrepresented Minority,1095,1093.5
2006 Fall,2006 D,U,Male,2,Asian/Pacific Islander,2704,2667.83333333333
2006 Fall,2006 D,U,Male,3,White/Other,3398,3373
2006 Fall,2006 D,U,Male,4,International,177,173
2007 Spring,2007 B,U,Female,1,Underrepresented Minority,1843,1838.5
2007 Spring,2007 B,U,Female,2,Asian/Pacific Islander,4266,4213.66666666667
2007 Spring,2007 B,U,Female,3,White/Other,4235,4206.5
2007 Spring,2007 B,U,Female,4,International,171,169
2007 Spring,2007 B,U,Male,1,Underrepresented Minority,1080,1078
2007 Spring,2007 B,U,Male,2,Asian/Pacific Islander,2737,2701.16666666667
2007 Spring,2007 B,U,Male,3,White/Other,3312,3283.83333333333
2007 Spring,2007 B,U,Male,4,International,177,174
2007 Fall,2007 D,U,Female,1,Underrepresented Minority,1941,1934
2007 Fall,2007 D,U,Female,2,Asian/Pacific Islander,4365,4326.5
2007 Fall,2007 D,U,Female,3,White/Other,4371,4348
2007 Fall,2007 D,U,Female,4,International,187,184.5
2007 Fall,2007 D,U,Male,1,Underrepresented Minority,1181,1177.66666666667
2007 Fall,2007 D,U,Male,2,Asian/Pacific Islander,2865,2819.33333333333
2007 Fall,2007 D,U,Male,3,White/Other,3427,3398.5
2007 Fall,2007 D,U,Male,4,International,220,218
2008 Spring,2008 B,U,Female,1,Underrepresented Minority,1910,1903
2008 Spring,2008 B,U,Female,2,Asian/Pacific Islander,4412,4376.83333333333
2008 Spring,2008 B,U,Female,3,White/Other,4213,4187.5
2008 Spring,2008 B,U,Female,4,International,168,164.5
2008 Spring,2008 B,U,Male,1,Underrepresented Minority,1152,1150
2008 Spring,2008 B,U,Male,2,Asian/Pacific Islander,2940,2895.83333333333
2008 Spring,2008 B,U,Male,3,White/Other,3335,3308.5
2008 Spring,2008 B,U,Male,4,International,200,198
2008 Fall,2008 D,U,Female,1,Underrepresented Minority,1999,1990.5
2008 Fall,2008 D,U,Female,2,Asian/Pacific Islander,4381,4345.83333333333
2008 Fall,2008 D,U,Female,3,White/Other,4222,4201
2008 Fall,2008 D,U,Female,4,International,280,277
2008 Fall,2008 D,U,Male,1,Underrepresented Minority,1252,1250.5
2008 Fall,2008 D,U,Male,2,Asian/Pacific Islander,2953,2912.5
2008 Fall,2008 D,U,Male,3,White/Other,3391,3367.16666666667
2008 Fall,2008 D,U,Male,4,International,327,326
2009 Spring,2009 B,U,Female,1,Underrepresented Minority,2002,1994.5
2009 Spring,2009 B,U,Female,2,Asian/Pacific Islander,4357,4315.33333333333
2009 Spring,2009 B,U,Female,3,White/Other,4101,4079.5
2009 Spring,2009 B,U,Female,4,International,276,274
2009 Spring,2009 B,U,Male,1,Underrepresented Minority,1229,1226.5
2009 Spring,2009 B,U,Male,2,Asian/Pacific Islander,2948,2909.5
2009 Spring,2009 B,U,Male,3,White/Other,3268,3239.33333333333
2009 Spring,2009 B,U,Male,4,International,314,312
2009 Fall,2009 D,U,Female,1,Underrepresented Minority,2062,2055.5
2009 Fall,2009 D,U,Female,2,Asian/Pacific Islander,4257,4210.5
2009 Fall,2009 D,U,Female,3,White/Other,4201,4179.5
2009 Fall,2009 D,U,Female,4,International,438,435.5
2009 Fall,2009 D,U,Male,1,Underrepresented Minority,1345,1342
2009 Fall,2009 D,U,Male,2,Asian/Pacific Islander,2925,2881.66666666667
2009 Fall,2009 D,U,Male,3,White/Other,3389,3362.5
2009 Fall,2009 D,U,Male,4,International,470,465
2010 Spring,2010 B,U,Female,1,Underrepresented Minority,2011,2006.5
2010 Spring,2010 B,U,Female,2,Asian/Pacific Islander,4344,4296
2010 Spring,2010 B,U,Female,3,White/Other,4138,4118
2010 Spring,2010 B,U,Female,4,International,442,439
2010 Spring,2010 B,U,Male,1,Underrepresented Minority,1318,1313.5
2010 Spring,2010 B,U,Male,2,Asian/Pacific Islander,2937,2890.33333333333
2010 Spring,2010 B,U,Male,3,White/Other,3330,3307
2010 Spring,2010 B,U,Male,4,International,461,457
2010 Fall,2010 D,U,Female,1,Underrepresented Minority,2047,2042
2010 Fall,2010 D,U,Female,2,Asian/Pacific Islander,4215,4170
2010 Fall,2010 D,U,Female,3,White/Other,4060,4041.5
2010 Fall,2010 D,U,Female,4,International,628,622
2010 Fall,2010 D,U,Male,1,Underrepresented Minority,1341,1336
2010 Fall,2010 D,U,Male,2,Asian/Pacific Islander,2852,2811.16666666667
2010 Fall,2010 D,U,Male,3,White/Other,3306,3286.83333333333
2010 Fall,2010 D,U,Male,4,International,584,575.5
2011 Spring,2011 B,U,Female,1,Underrepresented Minority,2069,2063
2011 Spring,2011 B,U,Female,2,Asian/Pacific Islander,4243,4193
2011 Spring,2011 B,U,Female,3,White/Other,4003,3980.5
2011 Spring,2011 B,U,Female,4,International,593,584
2011 Spring,2011 B,U,Male,1,Underrepresented Minority,1337,1330
2011 Spring,2011 B,U,Male,2,Asian/Pacific Islander,2842,2797.83333333333
2011 Spring,2011 B,U,Male,3,White/Other,3193,3172
2011 Spring,2011 B,U,Male,4,International,574,565.5
2011 Fall,2011 D,U,Female,1,Underrepresented Minority,2138,2134.5
2011 Fall,2011 D,U,Female,2,Asian/Pacific Islander,4086,4046
2011 Fall,2011 D,U,Female,3,White/Other,3930,3910
2011 Fall,2011 D,U,Female,4,International,855,843.166666666667
2011 Fall,2011 D,U,Male,1,Underrepresented Minority,1429,1421.5
2011 Fall,2011 D,U,Male,2,Asian/Pacific Islander,2792,2755.16666666667
2011 Fall,2011 D,U,Male,3,White/Other,3127,3106.5
2011 Fall,2011 D,U,Male,4,International,808,799
2012 Spring,2012 B,U,Female,1,Underrepresented Minority,2142,2137
2012 Spring,2012 B,U,Female,2,Asian/Pacific Islander,4143,4101
2012 Spring,2012 B,U,Female,3,White/Other,3807,3784.5
2012 Spring,2012 B,U,Female,4,International,826,812
2012 Spring,2012 B,U,Male,1,Underrepresented Minority,1392,1386
2012 Spring,2012 B,U,Male,2,Asian/Pacific Islander,2779,2741.5
2012 Spring,2012 B,U,Male,3,White/Other,3059,3037.5
2012 Spring,2012 B,U,Male,4,International,779,769
2012 Fall,2012 D,U,Female,1,Underrepresented Minority,2190,2186
2012 Fall,2012 D,U,Female,2,Asian/Pacific Islander,4055,4015.83333333333
2012 Fall,2012 D,U,Female,3,White/Other,3636,3615.16666666667
2012 Fall,2012 D,U,Female,4,International,996,984.166666666667
2012 Fall,2012 D,U,Male,1,Underrepresented Minority,1457,1451
2012 Fall,2012 D,U,Male,2,Asian/Pacific Islander,2823,2796
2012 Fall,2012 D,U,Male,3,White/Other,2945,2927.66666666667
2012 Fall,2012 D,U,Male,4,International,955,947.5
2013 Spring,2013 B,U,Decline to State,3,White/Other,2,2
2013 Spring,2013 B,U,Female,1,Underrepresented Minority,2160,2155.5
2013 Spring,2013 B,U,Female,2,Asian/Pacific Islander,4161,4117.66666666667
2013 Spring,2013 B,U,Female,3,White/Other,3575,3557
2013 Spring,2013 B,U,Female,4,International,935,922.333333333333
2013 Spring,2013 B,U,Male,1,Underrepresented Minority,1437,1433
2013 Spring,2013 B,U,Male,2,Asian/Pacific Islander,2890,2859
2013 Spring,2013 B,U,Male,3,White/Other,2866,2845
2013 Spring,2013 B,U,Male,4,International,913,906
2013 Fall,2013 D,U,Female,1,Underrepresented Minority,2207,2199.5
2013 Fall,2013 D,U,Female,2,Asian/Pacific Islander,4026,3988
2013 Fall,2013 D,U,Female,3,White/Other,3299,3280.5
2013 Fall,2013 D,U,Female,4,International,1306,1292.5
2013 Fall,2013 D,U,Male,1,Underrepresented Minority,1471,1464.5
2013 Fall,2013 D,U,Male,2,Asian/Pacific Islander,2898,2866.5
2013 Fall,2013 D,U,Male,3,White/Other,2859,2838.66666666667
2013 Fall,2013 D,U,Male,4,International,1168,1158.66666666667
2014 Spring,2014 B,U,Female,1,Underrepresented Minority,2238,2231
2014 Spring,2014 B,U,Female,2,Asian/Pacific Islander,4143,4101.16666666667
2014 Spring,2014 B,U,Female,3,White/Other,3304,3283.5
2014 Spring,2014 B,U,Female,4,International,1250,1235.5
2014 Spring,2014 B,U,Male,1,Underrepresented Minority,1427,1421
2014 Spring,2014 B,U,Male,2,Asian/Pacific Islander,2950,2916.16666666667
2014 Spring,2014 B,U,Male,3,White/Other,2804,2783.16666666667
2014 Spring,2014 B,U,Male,4,International,1117,1105.5
2014 Fall,2014 D,U,Female,1,Underrepresented Minority,2329,2321.5
2014 Fall,2014 D,U,Female,2,Asian/Pacific Islander,4118,4081.16666666667
2014 Fall,2014 D,U,Female,3,White/Other,3204,3184.5
2014 Fall,2014 D,U,Female,4,International,1389,1376.66666666667
2014 Fall,2014 D,U,Male,1,Underrepresented Minority,1508,1502
2014 Fall,2014 D,U,Male,2,Asian/Pacific Islander,3055,3022.16666666667
2014 Fall,2014 D,U,Male,3,White/Other,2817,2800.66666666667
2014 Fall,2014 D,U,Male,4,International,1309,1295.83333333333
2015 Spring,2015 B,U,Female,1,Underrepresented Minority,2370,2362
2015 Spring,2015 B,U,Female,2,Asian/Pacific Islander,4230,4193.16666666667
2015 Spring,2015 B,U,Female,3,White/Other,3177,3159
2015 Spring,2015 B,U,Female,4,International,1313,1300.16666666667
2015 Spring,2015 B,U,Male,1,Underrepresented Minority,1523,1518.5
2015 Spring,2015 B,U,Male,2,Asian/Pacific Islander,3104,3074.66666666667
2015 Spring,2015 B,U,Male,3,White/Other,2754,2738.16666666667
2015 Spring,2015 B,U,Male,4,International,1199,1186.83333333333
