Semester Year Name Concat,Semester Year Letter Cd Concat,Ungrad Grad Cd,Gender Desc,Ucb Level1 Ethnic Rollup Cd,Ucb Level1 Ethnic Rollup Desc,Student Headcount,Prorated Student Major Cnt Sum
2005 Fall,2005 D,U,Female,1,Underrepresented Minority,5,4.5
2005 Fall,2005 D,U,Female,2,Asian/Pacific Islander,44,39
2005 Fall,2005 D,U,Female,3,White/Other,32,26.8333333333333
2005 Fall,2005 D,U,Female,4,International,7,6
2005 Fall,2005 D,U,Male,1,Underrepresented Minority,20,18.5
2005 Fall,2005 D,U,Male,2,Asian/Pacific Islander,88,72
2005 Fall,2005 D,U,Male,3,White/Other,101,85
2005 Fall,2005 D,U,Male,4,International,15,11.8333333333333
2006 Spring,2006 B,U,Female,1,Underrepresented Minority,6,5.5
2006 Spring,2006 B,U,Female,2,Asian/Pacific Islander,46,41.5
2006 Spring,2006 B,U,Female,3,White/Other,30,26
2006 Spring,2006 B,U,Female,4,International,11,9.5
2006 Spring,2006 B,U,Male,1,Underrepresented Minority,24,21
2006 Spring,2006 B,U,Male,2,Asian/Pacific Islander,73,57.6666666666667
2006 Spring,2006 B,U,Male,3,White/Other,101,82.8333333333333
2006 Spring,2006 B,U,Male,4,International,16,11.6666666666667
2006 Fall,2006 D,U,Female,1,Underrepresented Minority,7,7
2006 Fall,2006 D,U,Female,2,Asian/Pacific Islander,51,43
2006 Fall,2006 D,U,Female,3,White/Other,28,24.5
2006 Fall,2006 D,U,Female,4,International,5,4
2006 Fall,2006 D,U,Male,1,Underrepresented Minority,17,14
2006 Fall,2006 D,U,Male,2,Asian/Pacific Islander,69,57.8333333333333
2006 Fall,2006 D,U,Male,3,White/Other,80,63.6666666666667
2006 Fall,2006 D,U,Male,4,International,7,5.5
2007 Spring,2007 B,U,Female,1,Underrepresented Minority,5,5
2007 Spring,2007 B,U,Female,2,Asian/Pacific Islander,60,51.5
2007 Spring,2007 B,U,Female,3,White/Other,37,34
2007 Spring,2007 B,U,Female,4,International,7,5.5
2007 Spring,2007 B,U,Male,1,Underrepresented Minority,16,13.5
2007 Spring,2007 B,U,Male,2,Asian/Pacific Islander,79,65.1666666666667
2007 Spring,2007 B,U,Male,3,White/Other,108,84.1666666666667
2007 Spring,2007 B,U,Male,4,International,9,6.83333333333333
2007 Fall,2007 D,U,Female,1,Underrepresented Minority,8,7.5
2007 Fall,2007 D,U,Female,2,Asian/Pacific Islander,52,44.5
2007 Fall,2007 D,U,Female,3,White/Other,39,36
2007 Fall,2007 D,U,Female,4,International,8,7.5
2007 Fall,2007 D,U,Male,1,Underrepresented Minority,14,12
2007 Fall,2007 D,U,Male,2,Asian/Pacific Islander,64,55.1666666666667
2007 Fall,2007 D,U,Male,3,White/Other,92,74.3333333333333
2007 Fall,2007 D,U,Male,4,International,11,9.5
2008 Spring,2008 B,U,Female,1,Underrepresented Minority,9,8.5
2008 Spring,2008 B,U,Female,2,Asian/Pacific Islander,53,48.5
2008 Spring,2008 B,U,Female,3,White/Other,44,41
2008 Spring,2008 B,U,Female,4,International,8,6.5
2008 Spring,2008 B,U,Male,1,Underrepresented Minority,15,14
2008 Spring,2008 B,U,Male,2,Asian/Pacific Islander,70,59.5
2008 Spring,2008 B,U,Male,3,White/Other,97,76.1666666666667
2008 Spring,2008 B,U,Male,4,International,14,11.5
2008 Fall,2008 D,U,Female,1,Underrepresented Minority,9,9
2008 Fall,2008 D,U,Female,2,Asian/Pacific Islander,50,43.5
2008 Fall,2008 D,U,Female,3,White/Other,44,42
2008 Fall,2008 D,U,Female,4,International,4,2.33333333333333
2008 Fall,2008 D,U,Male,1,Underrepresented Minority,19,18
2008 Fall,2008 D,U,Male,2,Asian/Pacific Islander,92,77.3333333333333
2008 Fall,2008 D,U,Male,3,White/Other,82,66.5
2008 Fall,2008 D,U,Male,4,International,13,11.5
2009 Spring,2009 B,U,Female,1,Underrepresented Minority,12,11.5
2009 Spring,2009 B,U,Female,2,Asian/Pacific Islander,58,49.5
2009 Spring,2009 B,U,Female,3,White/Other,49,45
2009 Spring,2009 B,U,Female,4,International,6,3.33333333333333
2009 Spring,2009 B,U,Male,1,Underrepresented Minority,28,24.5
2009 Spring,2009 B,U,Male,2,Asian/Pacific Islander,109,89.5
2009 Spring,2009 B,U,Male,3,White/Other,107,86.8333333333333
2009 Spring,2009 B,U,Male,4,International,15,11.5
2009 Fall,2009 D,U,Female,1,Underrepresented Minority,9,8.5
2009 Fall,2009 D,U,Female,2,Asian/Pacific Islander,38,31.1666666666667
2009 Fall,2009 D,U,Female,3,White/Other,38,33.5
2009 Fall,2009 D,U,Female,4,International,5,4
2009 Fall,2009 D,U,Male,1,Underrepresented Minority,25,22.5
2009 Fall,2009 D,U,Male,2,Asian/Pacific Islander,113,91.1666666666667
2009 Fall,2009 D,U,Male,3,White/Other,92,76
2009 Fall,2009 D,U,Male,4,International,13,9.5
2010 Spring,2010 B,U,Female,1,Underrepresented Minority,7,6.5
2010 Spring,2010 B,U,Female,2,Asian/Pacific Islander,45,35.1666666666667
2010 Spring,2010 B,U,Female,3,White/Other,31,26.5
2010 Spring,2010 B,U,Female,4,International,6,4
2010 Spring,2010 B,U,Male,1,Underrepresented Minority,28,25
2010 Spring,2010 B,U,Male,2,Asian/Pacific Islander,124,97.6666666666667
2010 Spring,2010 B,U,Male,3,White/Other,103,82.8333333333333
2010 Spring,2010 B,U,Male,4,International,24,17.5
