Semester Year Name Concat,Semester Year Letter Cd Concat,Ungrad Grad Cd,Gender Desc,Ucb Level1 Ethnic Rollup Cd,Ucb Level1 Ethnic Rollup Desc,Student Headcount,Prorated Student Major Cnt Sum
2005 Fall,2005 D,U,Female,1,Underrepresented Minority,401,371.5
2005 Fall,2005 D,U,Female,2,Asian/Pacific Islander,712,606.166666666667
2005 Fall,2005 D,U,Female,3,White/Other,872,808.5
2005 Fall,2005 D,U,Female,4,International,23,19.5
2005 Fall,2005 D,U,Male,1,Underrepresented Minority,247,233
2005 Fall,2005 D,U,Male,2,Asian/Pacific Islander,437,374.666666666667
2005 Fall,2005 D,U,Male,3,White/Other,568,525.5
2005 Fall,2005 D,U,Male,4,International,33,28.3333333333333
2006 Spring,2006 B,U,Female,1,Underrepresented Minority,435,397.833333333333
2006 Spring,2006 B,U,Female,2,Asian/Pacific Islander,781,668.666666666667
2006 Spring,2006 B,U,Female,3,White/Other,935,857.833333333333
2006 Spring,2006 B,U,Female,4,International,31,27
2006 Spring,2006 B,U,Male,1,Underrepresented Minority,259,244.666666666667
2006 Spring,2006 B,U,Male,2,Asian/Pacific Islander,450,390
2006 Spring,2006 B,U,Male,3,White/Other,649,597.666666666667
2006 Spring,2006 B,U,Male,4,International,35,31.3333333333333
2006 Fall,2006 D,U,Female,1,Underrepresented Minority,401,374
2006 Fall,2006 D,U,Female,2,Asian/Pacific Islander,724,608.333333333333
2006 Fall,2006 D,U,Female,3,White/Other,890,819
2006 Fall,2006 D,U,Female,4,International,29,27
2006 Fall,2006 D,U,Male,1,Underrepresented Minority,256,241
2006 Fall,2006 D,U,Male,2,Asian/Pacific Islander,415,361.333333333333
2006 Fall,2006 D,U,Male,3,White/Other,650,600.5
2006 Fall,2006 D,U,Male,4,International,33,28.5
2007 Spring,2007 B,U,Female,1,Underrepresented Minority,483,443.666666666667
2007 Spring,2007 B,U,Female,2,Asian/Pacific Islander,859,730.333333333333
2007 Spring,2007 B,U,Female,3,White/Other,970,887.666666666667
2007 Spring,2007 B,U,Female,4,International,26,23
2007 Spring,2007 B,U,Male,1,Underrepresented Minority,276,260.5
2007 Spring,2007 B,U,Male,2,Asian/Pacific Islander,465,409.5
2007 Spring,2007 B,U,Male,3,White/Other,722,666.333333333333
2007 Spring,2007 B,U,Male,4,International,34,29.8333333333333
2007 Fall,2007 D,U,Female,1,Underrepresented Minority,445,411.5
2007 Fall,2007 D,U,Female,2,Asian/Pacific Islander,830,718.833333333333
2007 Fall,2007 D,U,Female,3,White/Other,955,876.833333333333
2007 Fall,2007 D,U,Female,4,International,26,23
2007 Fall,2007 D,U,Male,1,Underrepresented Minority,266,251.166666666667
2007 Fall,2007 D,U,Male,2,Asian/Pacific Islander,478,417
2007 Fall,2007 D,U,Male,3,White/Other,675,628.5
2007 Fall,2007 D,U,Male,4,International,33,30
2008 Spring,2008 B,U,Female,1,Underrepresented Minority,507,468.5
2008 Spring,2008 B,U,Female,2,Asian/Pacific Islander,883,772.166666666667
2008 Spring,2008 B,U,Female,3,White/Other,988,903.833333333333
2008 Spring,2008 B,U,Female,4,International,31,27.5
2008 Spring,2008 B,U,Male,1,Underrepresented Minority,281,266
2008 Spring,2008 B,U,Male,2,Asian/Pacific Islander,527,461.833333333333
2008 Spring,2008 B,U,Male,3,White/Other,701,649.833333333333
2008 Spring,2008 B,U,Male,4,International,36,32.5
2008 Fall,2008 D,U,Female,1,Underrepresented Minority,491,454
2008 Fall,2008 D,U,Female,2,Asian/Pacific Islander,781,691.166666666667
